Modelo,Teste,Parâmetro,Valor
GPT 5 mini,Teste 1,Testes,12
GPT 5 mini,Teste 1,Erros Encontrados,3
GPT 5 mini,Teste 1,Testes Redundantes,3
GPT 5 mini,Teste 1,Testes Incorretos,7
GPT 5 mini,Teste 1,Quebras de Regras,4
GPT 5 mini,Teste 1,Testes,13
GPT 5 mini,Teste 1,Erros Encontrados,3
GPT 5 mini,Teste 1,Testes Redundantes,3
GPT 5 mini,Teste 1,Testes Incorretos,8
GPT 5 mini,Teste 1,Quebras de Regras,4
GPT 5 mini,Teste 1,Testes,13
GPT 5 mini,Teste 1,Erros Encontrados,5
GPT 5 mini,Teste 1,Testes Redundantes,3
GPT 5 mini,Teste 1,Testes Incorretos,0
GPT 5 mini,Teste 1,Quebras de Regras,4
GPT 5 mini,Teste 1,Testes,13
GPT 5 mini,Teste 1,Erros Encontrados,6
GPT 5 mini,Teste 1,Testes Redundantes,4
GPT 5 mini,Teste 1,Testes Incorretos,0
GPT 5 mini,Teste 1,Quebras de Regras,4
GPT 5 mini,Teste 1,Testes,13
GPT 5 mini,Teste 1,Erros Encontrados,6
GPT 5 mini,Teste 1,Testes Redundantes,4
GPT 5 mini,Teste 1,Testes Incorretos,0
GPT 5 mini,Teste 1,Quebras de Regras,4
GPT 5 mini,Teste 2,Testes,19
GPT 5 mini,Teste 2,Erros Encontrados,4
GPT 5 mini,Teste 2,Testes Redundantes,0
GPT 5 mini,Teste 2,Testes Incorretos,0
GPT 5 mini,Teste 2,Quebras de Regras,11
GPT 5 mini,Teste 2,Testes,19
GPT 5 mini,Teste 2,Erros Encontrados,4
GPT 5 mini,Teste 2,Testes Redundantes,0
GPT 5 mini,Teste 2,Testes Incorretos,0
GPT 5 mini,Teste 2,Quebras de Regras,11
GPT 5 mini,Teste 2,Testes,19
GPT 5 mini,Teste 2,Erros Encontrados,4
GPT 5 mini,Teste 2,Testes Redundantes,2
GPT 5 mini,Teste 2,Testes Incorretos,0
GPT 5 mini,Teste 2,Quebras de Regras,12
